normalized_hand,hand_rank,hand_type
AsKsQs7s4s,588,Flush
AsKsQs7s3s,589,Flush
AsKsQs7s2s,590,Flush
AsKsQs6s5s,591,Flush
AsKsQs6s4s,592,Flush
AsKsQs6s3s,593,Flush
AsKsQs6s2s,594,Flush
AsKsQs5s4s,595,Flush
AsKsQs5s3s,596,Flush
AsKsQs5s2s,597,Flush
AsKsQs4s3s,598,Flush
AsKsQs4s2s,599,Flush
AsKsQs3s2s,600,Flush
AsKsJsTs9s,601,Flush
AsKsJsTs8s,602,Flush
AsKsJsTs7s,603,Flush
AsKsJsTs6s,604,Flush
AsKsJsTs5s,605,Flush
AsKsJsTs4s,606,Flush
AsKsJsTs3s,607,Flush
AsKsJsTs2s,608,Flush
AsKsJs9s8s,609,Flush
AsKsJs9s7s,610,Flush
AsKsJs9s6s,611,Flush
AsKsJs9s5s,612,Flush
AsKsJs9s4s,613,Flush
AsKsJs9s3s,614,Flush
AsKsJs9s2s,615,Flush
AsKsJs8s7s,616,Flush
AsKsJs8s6s,617,Flush
AsKsJs8s5s,618,Flush
AsKsJs8s4s,619,Flush
AsKsJs8s3s,620,Flush
AsKsJs8s2s,621,Flush
AsKsJs7s6s,622,Flush
AsKsJs7s5s,623,Flush
AsKsJs7s4s,624,Flush
AsKsJs7s3s,625,Flush
AsKsJs7s2s,626,Flush
AsKsJs6s5s,627,Flush
AsKsJs6s4s,628,Flush
AsKsJs6s3s,629,Flush
AsKsJs6s2s,630,Flush
AsKsJs5s4s,631,Flush
AsKsJs5s3s,632,Flush
AsKsJs5s2s,633,Flush
AsKsJs4s3s,634,Flush
AsKsJs4s2s,635,Flush
AsKsJs3s2s,636,Flush
AsKsTs9s8s,637,Flush
AsKsTs9s7s,638,Flush
AsKsTs9s6s,639,Flush
AsKsTs9s5s,640,Flush
AsKsTs9s4s,641,Flush
AsKsTs9s3s,642,Flush
AsKsTs9s2s,643,Flush
AsKsTs8s7s,644,Flush
AsKsTs8s6s,645,Flush
AsKsTs8s5s,646,Flush
AsKsTs8s4s,647,Flush
AsKsTs8s3s,648,Flush
AsKsTs8s2s,649,Flush
AsKsTs7s6s,650,Flush
AsKsTs7s5s,651,Flush
AsKsTs7s4s,652,Flush
AsKsTs7s3s,653,Flush
AsKsTs7s2s,654,Flush
AsKsTs6s5s,655,Flush
AsKsTs6s4s,656,Flush
AsKsTs6s3s,657,Flush
AsKsTs6s2s,658,Flush
AsKsTs5s4s,659,Flush
AsKsTs5s3s,660,Flush
AsKsTs5s2s,661,Flush
AsKsTs4s3s,662,Flush
AsKsTs4s2s,663,Flush
AsKsTs3s2s,664,Flush
AsKs9s8s7s,665,Flush
AsKs9s8s6s,666,Flush
AsKs9s8s5s,667,Flush
AsKs9s8s4s,668,Flush
AsKs9s8s3s,669,Flush
AsKs9s8s2s,670,Flush
AsKs9s7s6s,671,Flush
AsKs9s7s5s,672,Flush
AsKs9s7s4s,673,Flush
AsKs9s7s3s,674,Flush
AsKs9s7s2s,675,Flush
AsKs9s6s5s,676,Flush
AsKs9s6s4s,677,Flush
AsKs9s6s3s,678,Flush
AsKs9s6s2s,679,Flush
AsKs9s5s4s,680,Flush
AsKs9s5s3s,681,Flush
AsKs9s5s2s,682,Flush
AsKs9s4s3s,683,Flush
AsKs9s4s2s,684,Flush
AsKs9s3s2s,685,Flush
AsKs8s7s6s,686,Flush
AsKs8s7s5s,687,Flush
AsKs8s7s4s,688,Flush
AsKs8s7s3s,689,Flush
AsKs8s7s2s,690,Flush
AsKs8s6s5s,691,Flush
AsKs8s6s4s,692,Flush
AsKs8s6s3s,693,Flush
AsKs8s6s2s,694,Flush
AsKs8s5s4s,695,Flush
AsKs8s5s3s,696,Flush
AsKs8s5s2s,697,Flush
AsKs8s4s3s,698,Flush
AsKs8s4s2s,699,Flush
AsKs8s3s2s,700,Flush
AsKs7s6s5s,701,Flush
AsKs7s6s4s,702,Flush
AsKs7s6s3s,703,Flush
AsKs7s6s2s,704,Flush
AsKs7s5s4s,705,Flush
AsKs7s5s3s,706,Flush
AsKs7s5s2s,707,Flush
AsKs7s4s3s,708,Flush
AsKs7s4s2s,709,Flush
AsKs7s3s2s,710,Flush
AsKs6s5s4s,711,Flush
AsKs6s5s3s,712,Flush
